Full Name,Gender,Phone Number,Committee,Line,Stop
Zein Raafat,Male,01234567890,Executive,6th of October,Engineers Syndicate Club
Abdallah Emam,Male,01987654321,Executive,5th Settlement,Waterway Mall
Adham Abdelaal,Male,01555123456,Executive,,
Rawan Anwar,Female,01666789012,Registration Affairs,Sheikh Zayed,Beverly Hills School Gate
Ahmed Hassan,Male,01777890123,Public Relations,Feisal,Giza Metro
Sara Ahmed,Female,01888901234,Media & Design,Maadi,Nahda Square
Omar Mohamed,Male,01999012345,Operations,6th of October,Cityscape Mall
Fatima Ali,Female,01000123456,Socials,,
Mohamed Youssef,Male,01111234567,ICJ Delegates,5th Settlement,Police Officers Club
Nour Hassan,Female,01222345678,UNOOSA Delegates,Sheikh Zayed,Hadayek Elmohandseen
Karim Mahmoud,Male,01333456789,DISEC Delegates,Feisal,كشري العريس
Yasmin Omar,Female,01444567890,Press Delegates,Maadi,Grand Mall Square
Amr Khaled,Male,01555678901,UN Women Delegates,6th of October,Al-Hosary Mosque
Salma Mostafa,Female,01666789012,UNODC Delegates,, 
